date,soybean_oil_usd_mt,maize_usd_mt,wheat_usd_mt,dap_fertiliser_usd_mt,mop_potash_usd_mt,wheat_usd_mt_mom_pct,wheat_usd_mt_yoy_pct,maize_usd_mt_mom_pct,maize_usd_mt_yoy_pct,soybean_oil_usd_mt_mom_pct,soybean_oil_usd_mt_yoy_pct,dap_fertiliser_usd_mt_mom_pct,dap_fertiliser_usd_mt_yoy_pct,mop_potash_usd_mt_mom_pct,mop_potash_usd_mt_yoy_pct,dap_to_wheat_ratio,fertiliser_composite_idx,undernourishment_pct,food_production_index,cereal_yield_kg_ha,arable_land_pct,undernourishment_pct_yoy_chg,food_production_index_yoy_chg,cereal_yield_kg_ha_yoy_chg,ffpi_overall,ffpi_cereals,ffpi_overall_mom_pct,ffpi_cereals_yoy_pct,ffpi_above_baseline,ffpi_crisis_flag,dap_to_wheat_elevated,ffpi_volatility_12m,cereals_affordability_idx,supply_stress_flag,food_shock_score,month,year
30-04-1991,460.0,110.33,120.89,166.0,108.0,1.231,-24.193,0.721,-7.145,1.545,4.545,1.451,6.959,12.941,15.88,1.373,137.0,0,22.61964616,2870.949132,10.65953276,0,-0.186,115.953,58.15,59.36,1.148,-15.944,0,0,0,2.423,168.46,0,0,4,1991
31-05-1991,444.0,105.7,121.99,165.25,112.0,0.91,-18.226,-4.197,-12.673,-3.478,-1.114,-0.452,10.813,3.704,19.786,1.355,138.62,0,22.61964616,2870.949132,10.65953276,0,-0.186,115.953,56.78,58.28,-2.356,-15.426,0,0,0,2.46,171.59,0,0,5,1991
30-06-1991,440.0,104.21,120.15,159.25,112.0,-1.508,-11.381,-1.41,-13.776,-0.901,1.149,-3.631,4.255,0.0,19.786,1.325,135.62,0,22.61964616,2870.949132,10.65953276,0,-0.186,115.953,56.05,57.43,-1.286,-12.654,0,0,0,2.252,174.13,0,0,6,1991
31-07-1991,431.0,105.11,118.31,163.5,110.4,-1.531,-5.299,0.864,-8.528,-2.045,-1.373,2.669,1.742,-1.429,18.075,1.382,136.95,0,22.61964616,2870.949132,10.65953276,0,-0.186,115.953,55.58,57.27,-0.839,-7.029,0,0,0,1.944,174.61,0,0,7,1991
31-08-1991,457.0,110.43,125.3,161.875,110.0,5.908,7.241,5.061,0.345,6.032,-0.652,-0.994,0.857,-0.362,17.647,1.292,135.94,0,22.61964616,2870.949132,10.65953276,0,-0.186,115.953,58.72,60.4,5.65,3.496,0,0,0,2.537,165.56,0,0,8,1991
30-09-1991,468.0,108.85,135.22,159.5,110.0,7.917,18.334,-1.431,7.22,2.407,1.518,-1.467,-3.843,0.0,17.647,1.18,134.75,0,22.61964616,2870.949132,10.65953276,0,-0.186,115.953,60.37,62.21,2.81,12.455,0,0,0,2.352,160.75,0,0,9,1991
31-10-1991,485.0,109.7,146.97,155.0,110.0,8.69,28.201,0.781,9.328,3.632,3.632,-2.821,-6.457,0.0,17.647,1.055,132.5,0,22.61964616,2870.949132,10.65953276,0,-0.186,115.953,63.01,65.14,4.373,18.307,0,0,0,2.565,153.52,0,0,10,1991
30-11-1991,466.0,106.49,149.55,143.5,110.0,1.755,32.58,-2.926,6.076,-3.918,2.418,-7.419,-12.165,0.0,17.647,0.96,126.75,0,22.61964616,2870.949132,10.65953276,0,-0.186,115.953,62.03,64.82,-1.555,18.588,0,0,0,2.577,154.27,0,0,11,1991
31-12-1991,442.0,106.91,160.94,143.5,110.0,7.616,42.211,0.394,4.803,-5.15,-7.143,0.0,-9.535,0.0,17.647,0.892,126.75,0,25.8914494,2862.21747,10.68155713,0,3.272,-8.732,62.87,67.54,1.354,22.355,0,0,0,2.555,148.06,0,0,12,1991
31-01-1992,429.0,109.31,170.12,145.25,110.0,5.704,52.807,2.245,3.445,-2.941,-5.714,1.22,-7.705,0.0,17.647,0.854,127.62,0,25.8914494,2862.21747,10.68155713,0,3.272,-8.732,64.21,70.32,2.131,25.931,0,0,0,2.511,142.21,0,0,1,1992
29-02-1992,414.0,113.62,177.1,147.875,110.0,4.103,55.474,3.943,7.088,-3.497,-6.966,1.807,-7.938,0.0,15.033,0.835,128.94,0,25.8914494,2862.21747,10.68155713,0,3.272,-8.732,65.49,73.16,1.993,29.372,0,0,0,2.494,136.69,0,0,2,1992
31-03-1992,434.0,117.0,169.39,144.8,110.0,-4.353,41.844,2.975,6.81,4.831,-4.194,-2.079,-11.505,0.0,15.033,0.855,127.4,0,25.8914494,2862.21747,10.68155713,0,3.272,-8.732,65.77,72.37,0.428,23.078,0,0,0,2.433,138.18,0,0,3,1992
30-04-1992,425.0,108.52,159.83,142.75,110.0,-5.644,32.211,-7.248,-1.641,-2.074,-7.609,-1.416,-14.006,0.0,1.852,0.893,126.38,0,25.8914494,2862.21747,10.68155713,0,3.272,-8.732,62.32,67.74,-5.246,14.117,0,0,0,3.055,147.62,0,0,4,1992
31-05-1992,439.0,109.64,149.55,140.5,110.0,-6.432,22.592,1.032,3.728,3.294,-1.126,-1.576,-14.977,0.0,-1.786,0.939,125.25,0,25.8914494,2862.21747,10.68155713,0,3.272,-8.732,61.54,65.72,-1.252,12.766,0,0,0,2.973,152.16,0,0,5,1992
30-06-1992,456.0,110.9,148.81,143.5,110.0,-0.495,23.854,1.149,6.42,3.872,3.636,2.135,-9.89,0.0,-1.786,0.964,126.75,0,25.8914494,2862.21747,10.68155713,0,3.272,-8.732,62.35,65.91,1.316,14.766,0,0,0,2.908,151.72,0,0,6,1992
31-07-1992,429.0,102.75,136.32,146.0,110.0,-8.393,15.223,-7.349,-2.245,-5.921,-0.464,1.742,-10.703,0.0,-0.362,1.071,128.0,0,25.8914494,2862.21747,10.68155713,0,3.272,-8.732,57.8,60.71,-7.298,6.007,0,0,0,3.743,164.72,0,0,7,1992
31-08-1992,409.0,96.96,128.24,131.4,113.6,-5.927,2.346,-5.635,-12.198,-4.662,-10.503,-10.0,-18.826,3.273,3.273,1.025,122.5,0,25.8914494,2862.21747,10.68155713,0,3.272,-8.732,54.65,57.2,-5.45,-5.298,0,0,0,3.697,174.83,0,0,8,1992
30-09-1992,421.0,98.05,138.89,131.25,114.5,8.305,2.714,1.124,-9.922,2.934,-10.043,-0.114,-17.712,0.792,4.091,0.945,122.88,0,25.8914494,2862.21747,10.68155713,0,3.272,-8.732,56.96,59.94,4.227,-3.649,0,0,0,3.834,166.83,0,0,9,1992
31-10-1992,418.0,95.11,140.73,130.125,114.5,1.325,-4.246,-2.998,-13.3,-0.713,-13.814,-0.857,-16.048,0.0,4.091,0.925,122.31,0,25.8914494,2862.21747,10.68155713,0,3.272,-8.732,56.56,59.52,-0.702,-8.628,0,0,0,3.525,168.01,0,0,10,1992
30-11-1992,437.0,94.48,147.71,126.4,114.5,4.96,-1.23,-0.662,-11.278,4.545,-6.223,-2.863,-11.916,0.0,4.091,0.856,120.45,0,25.8914494,2862.21747,10.68155713,0,3.272,-8.732,58.27,60.94,3.023,-5.986,0,0,0,3.684,164.1,0,0,11,1992
31-12-1992,436.0,94.61,147.71,124.625,114.0,0.0,-8.22,0.138,-11.505,-0.229,-1.357,-1.404,-13.153,-0.437,3.636,0.844,119.31,0,28.73482854,2774.298622,10.61944226,0,2.843,-87.919,58.25,60.97,-0.034,-9.728,0,0,0,3.644,164.02,0,0,12,1992
31-01-1993,444.0,94.21,155.79,123.75,113.0,5.47,-8.423,-0.423,-13.814,1.835,3.497,-0.702,-14.802,-0.877,2.727,0.794,118.38,0,28.73482854,2774.298622,10.61944226,0,2.843,-87.919,59.73,62.71,2.541,-10.822,0,0,0,3.673,159.46,0,0,1,1993
28-02-1993,433.0,94.38,148.81,120.25,112.5,-4.48,-15.974,0.18,-16.934,-2.477,4.589,-2.828,-18.681,-0.442,2.273,0.808,116.38,0,28.73482854,2774.298622,10.61944226,0,2.843,-87.919,58.26,61.16,-2.461,-16.402,0,0,0,3.619,163.51,0,0,2,1993
